Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.48119593	1.6466352	5.0982857	-1.5755632	23.583334	27.801252	88.0	0.0	1000.0	703.0	0.023433333333333334	0.60998476	0.5606706	2.0205815	-1.1460388	-0.43275976	0.12031037	0.08394459	-0.8270795	1.5716068e-08	0.02721124	-4.4703484e-08	-0.00046308292	0.8309899	-0.7034453	25.156609	-12.597526	0	0	1.0	1.837877	0.035871387	30000	29.6734938621521
1	0.64783627	2.3682005	6.763283	-3.2584393	12.958333	13.352526	56.0	0.0	1000.0	1098.0	0.0183	0.14792319	0.34581044	0.9778245	-1.0099818	1.1519289	2.2196727	10.602197	-3.5111723	7.450581e-09	0.06305936	-1.1175871e-08	0.008578017	0.22044244	-0.052256107	6.344668	-1.538252	0	0	1.0	1.8375705	0.084837995	60000	58.374086141586304
2	0.65704757	2.3688343	6.089868	-2.8373363	17.458334	25.66122	92.0	0.0	1000.0	1547.0	0.01718888888888889	0.10576717	0.55929863	1.7955487	-1.3375784	1.6172473	1.4793384	8.152131	-1.8240172	1.1175871e-08	0.00096135656	1.1175871e-08	-0.0024322062	0.17484264	-0.042095546	14.996655	-7.4722705	0	0	1.0	1.8379846	0.0044337767	90000	86.77559018135071
3	0.29670885	2.270305	9.25193	-1.619259	7.7083335	12.498263	36.0	0.0	1000.0	1926.0	0.01605	0.09980044	0.40480688	1.6928954	-0.9530016	1.4438214	2.0801816	23.449068	-3.002754	1.0244548e-08	5.5720215e-05	-3.7252903e-09	0.0017499371	0.1429598	-0.025294427	7.7375293	-2.8499885	0	0	1.0	1.8382342	0.0030321716	120000	114.85179591178894
4	1.0351278	2.4676614	8.52118	-2.451528	15.125	24.863482	89.0	0.0	1000.0	2336.0	0.015573333333333333	0.14605646	0.55196166	1.9885741	-1.1101371	1.9977962	3.4166026	23.316486	-1.2631565	7.450581e-09	-0.0073174294	-1.4901161e-08	0.0012510195	0.15972003	-0.033228226	16.783878	-9.75321	0	0	79.0	1.838326	0.0044080606	150000	151.24446487426758
5	1.6059221	2.9753776	10.432402	-2.214106	19.083334	22.544247	71.0	0.0	1000.0	2884.0	0.016022222222222222	0.1483835	0.47941235	1.6901019	-1.2232655	1.6501482	1.8374394	18.928228	-1.5032775	-3.7252903e-09	-0.008914158	-2.2351742e-08	0.0002389215	0.13597071	-0.019329175	9.105442	-2.217534	0	0	79.0	1.8147092	0.0059101526	180000	186.68128442764282
6	2.7969732	2.7391772	8.105061	-1.1712428	20.541666	28.247389	92.0	0.0	1000.0	3515.0	0.01673809523809524	0.18086907	0.47978756	1.3905586	-0.9380581	2.1373448	2.449273	23.357664	-1.918317	1.1175871e-08	-0.0087153055	0.0	0.00070674066	0.16206628	-0.026967524	13.459411	-3.256136	0	0	79.0	1.7981157	0.005628719	210000	221.99846053123474
7	3.4694395	2.9559977	8.763453	-1.6662825	19.375	20.550371	65.0	0.0	1000.0	4095.0	0.0170625	0.3345217	0.47845796	1.5949706	-0.9476344	1.8764266	2.6100245	24.878668	-2.799865	7.450581e-09	-0.0016092211	-2.4214387e-08	0.0005265707	0.24299113	-0.03977845	12.078277	-3.2282503	0	0	5.0	1.7773468	0.0020210098	240000	250.59890818595886
8	4.108232	3.9928243	11.143859	-1.8467356	20.75	21.387789	96.0	0.0	1000.0	4675.0	0.017314814814814814	0.36969087	0.5148512	2.1513238	-0.98328114	2.1353421	2.277733	28.502268	-1.486184	1.3038516e-08	0.0029539303	3.7252903e-09	-5.452684e-05	0.19623935	-0.040529374	11.116886	-2.954871	0	0	1.0	1.7763963	0.009561919	270000	278.72756457328796
9	3.4470565	2.8560543	11.364135	0.0058697173	17.625	23.82193	88.0	0.0	1000.0	5275.0	0.017583333333333333	0.45255774	0.6141468	2.2434645	-0.9521854	2.4826775	3.14369	30.151117	-0.95977426	-1.4901161e-08	-0.00040522427	8.381903e-09	0.0013474228	0.18473502	-0.04014977	12.676326	-4.7332726	0	0	1.0	1.7761929	0.0013014543	300000	307.10957169532776
