Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.13779064	1.1402904	2.1814249	-1.8004997	45.25	51.479973	227.0	4.0	1000.0	1533.0	0.0511	0.59840804	0.49281478	2.1541605	-1.2754805	-0.42219687	0.12124821	0.4080927	-1.0452209	-2.2351742e-08	0.008990223	-5.9604645e-08	-0.018123144	0.67725617	-0.5954164	87.76834	-47.016987	0.99999994	0.032048404	1.0	1.837877	0.038856395	30000	34.72047305107117
1	1.0795264	2.0682132	6.0533156	-1.7612443	82.625	64.399025	227.0	4.0	1000.0	3921.0	0.06535	0.049487963	0.27479258	0.6975275	-0.94056875	6.6060753	4.818394	17.909622	-4.4297814	-3.7252903e-08	0.018348612	-7.4505806e-08	-0.016167805	0.20161816	-0.041219316	80.99356	-18.88059	1.0320483	0.03024435	1.0	1.8380115	0.099633485	60000	68.22654461860657
2	1.2021018	2.0325265	6.748426	-2.3298464	70.416664	73.765915	313.0	0.0	1000.0	6033.0	0.06703333333333333	0.117524885	0.31009015	1.0963902	-0.7257828	6.831179	5.664158	29.413609	-4.7190256	-7.450581e-09	-0.0005842752	0.0	-0.006593935	0.14765975	-0.014279204	73.947464	-18.873867	1.0622927	0.03172469	1.0	1.8383132	0.013575465	90000	102.29678201675415
3	0.7823432	1.7895489	4.2738223	-3.1471481	65.416664	51.607426	204.0	3.0	1000.0	8154.0	0.06795	0.09024262	0.331152	1.3516715	-0.817531	6.7882605	7.104901	41.08335	-3.520094	0.0	-0.004700024	-1.4901161e-08	-0.010489053	0.10545764	-0.018953737	55.74389	-12.177927	1.0940174	0.032583	2.0	1.8388855	0.0033150213	120000	136.905659198761
4	0.8328816	1.8147736	4.168808	-1.4790496	62.25	53.324673	170.0	0.0	1000.0	10114.0	0.06742666666666666	0.1074723	0.3261677	1.2582016	-0.8017529	7.0192733	6.6659703	43.746277	-3.7893662	1.8626451e-08	-0.0022499533	3.7252903e-08	-0.0062576924	0.11696422	-0.014229289	52.688953	-11.560681	1.1266004	0.033062577	2.0	1.8392744	0.005724108	150000	172.43138480186462
5	0.95752627	1.4574298	4.201099	-1.9325292	55.541668	35.808495	130.0	0.0	1000.0	11800.0	0.06555555555555556	0.05240564	0.3204487	1.1259292	-0.89047194	7.197417	6.0219555	40.25759	-2.8358831	0.0	-0.0030812237	-1.1175871e-08	-0.008590458	0.09917031	-0.016977288	50.47982	-13.666805	1.159663	0.033040047	1.0	1.8395107	0.0055246986	180000	207.24117302894592
6	1.2538736	2.3680716	7.812353	-2.0597064	66.166664	59.52637	226.0	4.0	1000.0	13636.0	0.06493333333333333	0.13061364	0.36521444	1.4410495	-0.89008987	6.081968	4.946962	36.502792	-3.4951255	1.0244548e-08	-0.004634441	2.0489097e-08	-0.01603293	0.14291953	-0.03004798	57.556526	-17.684807	1.192703	0.03395462	2.0	1.839695	0.017155975	210000	241.3039894104004
7	1.4911395	1.7113748	5.3945713	-1.2602804	59.0	49.37442	169.0	0.0	1000.0	15469.0	0.06445416666666667	0.15677527	0.4044885	1.5072525	-1.112819	5.724801	5.788756	42.757915	-3.174117	2.6077032e-08	-0.0038788375	4.4703484e-08	-0.008985869	0.14175446	-0.04182515	52.84961	-17.949326	1.2266576	0.03424728	1.0	1.8397522	0.008453345	240000	275.50341153144836
8	0.6205688	1.5179119	4.394527	-1.7856414	52.708332	57.724552	163.0	0.0	1000.0	17170.0	0.06359259259259259	0.09386064	0.31998315	1.5873325	-0.9059287	5.577889	7.1979876	48.385582	-2.449413	-7.450581e-09	-0.015130411	0.0	-0.031181637	0.09411704	-0.027560033	43.68583	-12.269358	1.2609049	0.035244346	16.0	1.8395443	0.012163885	270000	311.26208233833313
9	0.02646332	2.0054753	7.2558823	-2.3915946	55.583332	56.9202	266.0	0.0	1000.0	18977.0	0.06325666666666667	0.062496208	0.32410365	1.0816389	-0.88101393	5.8246346	5.9410815	44.07985	-2.5816987	-7.450581e-09	-0.004020376	-7.450581e-09	-0.01227252	0.105291426	-0.024649944	48.766052	-18.786018	1.2961493	0.034595013	2.0	1.8364631	0.0129356105	300000	345.67331886291504
10	0.6155574	1.8021822	3.519493	-2.385905	61.416668	48.76723	221.0	0.0	1000.0	20728.0	0.06281212121212121	0.03791688	0.3715424	1.3468776	-1.0151454	6.5933986	5.8313365	35.61279	-4.0498075	1.1175871e-08	-0.003935149	2.2351742e-08	-0.0132909985	0.099258825	-0.026870552	58.94282	-22.491781	1.3307443	0.035251737	2.0	1.8358939	0.015708404	330000	380.0823781490326
11	1.1859888	1.84708	4.8951406	-1.8641659	58.125	47.331554	197.0	0.0	1000.0	22486.0	0.06246111111111111	0.044427287	0.3080358	1.1260645	-1.0475724	6.171979	6.175049	41.398956	-3.0274053	5.5879354e-09	-0.004507284	3.7252903e-09	-0.018129438	0.100406006	-0.025115661	48.756622	-18.423834	1.365996	0.03573537	3.0	1.8353786	0.023014527	360000	414.4331512451172
12	0.80992603	2.305894	7.0673156	-2.0869074	58.541668	40.00206	186.0	2.0	1000.0	24230.0	0.062128205128205126	0.11768132	0.35549486	1.4079641	-0.85132205	4.987535	4.834766	39.282715	-6.869617	0.0	-0.0058416766	7.450581e-09	-0.014162583	0.12325914	-0.034846485	41.269333	-15.973249	1.4017314	0.03616023	3.0	1.8347822	0.013203666	390000	449.18508791923523
13	0.92809445	1.8591709	6.4561076	-1.6541858	42.625	44.446423	150.0	0.0	1000.0	25481.0	0.06066904761904762	0.08206351	0.37032005	1.8065808	-1.023127	5.069451	5.548458	47.598896	-9.488213	1.4901161e-08	-0.006497278	1.4901161e-08	-0.026531696	0.0841295	-0.0266187	44.172947	-17.528557	1.4378916	0.035265326	4.0	1.8351727	0.036360033	420000	484.030170917511
14	0.08957261	1.6862887	5.439027	-2.3057995	46.25	39.635056	143.0	0.0	1000.0	26900.0	0.05977777777777778	0.07990579	0.36138323	1.9391751	-1.0435996	4.532949	5.8286304	49.0537	-9.924614	4.656613e-09	-0.014832482	1.8626451e-09	-0.031276904	0.073342666	-0.03125776	36.48001	-15.032794	1.4731569	0.035613537	12.0	1.835721	0.0153246345	450000	519.5772972106934
15	0.21913075	2.2141156	6.4264007	-2.1704013	41.041668	45.0097	164.0	0.0	1000.0	28201.0	0.05875208333333334	0.046947155	0.3069699	1.2394859	-0.8946482	3.8126543	4.7726045	42.35592	-4.9404764	3.7252903e-09	-0.015525667	1.4901161e-08	-0.030240627	0.08572194	-0.02160464	30.517778	-12.102982	1.5087705	0.03509319	13.0	1.8341519	0.015715314	480000	555.594895362854
16	-0.1647139	1.4017253	2.9923315	-2.268972	26.083334	33.539673	111.0	0.0	1000.0	28963.0	0.056790196078431374	0.016596565	0.32682145	1.5785658	-1.1396898	3.0429544	4.3800974	43.35818	-4.801502	0.0	-0.008142766	-1.1175871e-08	-0.018442303	0.06888778	-0.027573153	23.21342	-10.670997	1.5438637	0.031678677	6.0	1.8344543	0.016743198	510000	592.1936452388763
