Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	1.1544334	1.859348	4.963356	-1.8035861	20.833334	30.117361	91.0	0.0	1000.0	683.0	0.022766666666666668	0.544992	0.5527136	2.0239978	-1.2550879	-0.38094407	0.115461774	0.12928304	-0.73381054	1.3038516e-08	0.016711375	1.6763806e-08	-0.016654432	0.8866214	-0.7099505	31.620258	-9.501241	0.99999994	-0.031176567	1.0	1.837877	0.09045988	30000	41.99958086013794
1	-0.30104437	2.042587	4.330528	-4.0448813	21.708334	21.43105	62.0	0.0	1000.0	1353.0	0.02255	0.022413002	0.33572719	1.1745923	-1.0898585	1.6988026	1.5549779	8.593265	-1.8892229	-9.313226e-10	0.01747676	-9.313226e-09	-0.0019411952	0.19960728	-0.03517135	15.9260645	-2.9068236	0.9688234	-0.030108154	1.0	1.8383791	0.04950767	60000	82.40660691261292
2	-0.04195134	2.7008083	6.9199214	-3.1157193	20.416666	25.04316	94.0	0.0	1000.0	2002.0	0.022244444444444445	-0.09739358	0.414638	1.3824971	-1.4825933	2.5869853	1.9500804	9.009828	-3.4699445	1.1175871e-08	0.0057111513	7.450581e-09	-0.0060548633	0.19270965	-0.035788294	21.478378	-4.982704	0.9387152	-0.029790342	1.0	1.8388922	0.022535563	90000	123.80861067771912
3	0.52086097	2.1321785	5.4871635	-2.4700491	32.75	32.264854	95.0	0.0	1000.0	2981.0	0.024841666666666668	-0.09776381	0.46561185	1.6355007	-1.350447	2.6173816	2.503821	16.271635	-2.1189494	-1.4901161e-08	-0.012001196	-1.8626451e-08	-0.026827192	0.16743818	-0.030481778	25.46029	-6.102268	0.9089249	2.4855137e-05	49.0	1.839291	0.012120681	120000	169.73858642578125
4	0.22233303	2.2112243	4.6059623	-2.9925268	33.5	25.573423	83.0	0.0	1000.0	3898.0	0.02598666666666667	-0.096058756	0.49475226	1.8003665	-1.4737731	3.7436101	3.1358292	21.78782	-3.2891283	6.519258e-09	-0.01272062	3.7252903e-08	-0.029407201	0.17043915	-0.02816863	22.978315	-5.8043814	0.90894973	0.010545731	25.0	1.8319027	0.011893917	150000	213.4753577709198
5	0.94281673	2.0751371	4.5959396	-3.2211218	31.625	22.479273	97.0	0.0	1000.0	4854.0	0.026966666666666667	-0.019164376	0.44267398	1.5164764	-1.60914	3.3709435	2.7505972	20.897102	-2.5474875	7.450581e-09	-0.0013591177	7.450581e-09	-0.0028190722	0.21799237	-0.04217223	22.105196	-3.8429046	0.91949546	0.013595104	2.0	1.8129163	0.0024867826	180000	255.40864872932434
6	0.4251641	1.6871929	4.490403	-3.8016937	16.333334	16.947632	53.0	0.0	1000.0	5371.0	0.025576190476190475	-0.07740842	0.5170805	1.5004729	-1.9202565	2.64945	2.3530943	16.034363	-3.4947093	-9.313226e-09	-0.0011343574	1.8626451e-09	-0.0026806137	0.22132891	-0.05370137	13.4430895	-3.2430995	0.93309057	0.002750039	3.0	1.8115411	0.003415326	210000	297.52255511283875
7	0.43820617	2.2006433	5.624202	-3.219906	24.75	21.558544	73.0	0.0	1000.0	6140.0	0.025583333333333333	-0.06687537	0.47910365	1.349464	-1.7165109	2.1422882	1.9645808	15.667568	-1.47734	-7.450581e-09	-0.011494853	-2.2351742e-08	-0.026458547	0.1829259	-0.04046122	18.608248	-2.6682422	0.9358406	0.0059612393	43.0	1.8108686	0.012740651	240000	343.74870228767395
8	1.1733395	2.5798635	7.3319488	-2.5330148	19.541666	18.339346	63.0	0.0	1000.0	6715.0	0.02487037037037037	0.0051576598	0.5183389	1.7218504	-1.5356758	2.627971	2.098323	17.509962	-1.5505838	2.2351742e-08	-0.0082039945	1.1175871e-08	-0.018278174	0.19115636	-0.05628358	12.624354	-3.386928	0.94180185	-0.00089240074	18.0	1.8216646	0.012905935	270000	386.97071504592896
9	2.5790505	3.7737393	15.437195	-2.6910822	26.375	22.289408	78.0	0.0	1000.0	7530.0	0.0251	0.043744527	0.5505498	1.6403583	-1.6123961	2.4077947	2.087465	17.153751	-2.33736	-1.3504177e-08	-0.0106862215	-1.1175871e-08	-0.025647188	0.22405854	-0.048424963	20.421017	-4.3828144	0.94090945	0.0016105771	30.0	1.8199695	0.012624567	300000	431.50393176078796
10	1.6956887	3.6762133	10.618409	-2.511843	32.0	22.139708	76.0	0.0	1000.0	8474.0	0.025678787878787877	0.07785556	0.57872826	1.6713412	-2.1183145	2.7349374	2.3502884	20.284405	-2.0899727	1.3969839e-09	0.00012464053	-2.0489097e-08	-0.0040869433	0.26024336	-0.07505567	24.549906	-5.169057	0.94252	0.004491389	2.0	1.8036032	0.0073279347	330000	474.08046531677246
11	2.8905938	2.9343717	8.095676	-2.4150567	24.5	22.003788	88.0	0.0	1000.0	9190.0	0.025527777777777778	0.15334007	0.601595	1.9110588	-1.667612	3.0038967	2.0316439	23.454094	-2.76723	6.519258e-09	-4.9541937e-05	-2.7939677e-09	-0.0050295275	0.19891089	-0.060126092	18.362288	-6.7046547	0.9470114	0.0035350323	1.0	1.8021095	0.010453137	360000	516.4292685985565
12	2.3009465	2.4112856	7.1285625	-2.058597	27.833334	19.932526	68.0	0.0	1000.0	9940.0	0.025487179487179486	0.08875259	0.5991279	1.8603286	-1.6558994	3.0111933	2.7588227	24.98082	-2.894618	7.450581e-09	-0.00050117937	1.4901161e-08	-0.0021133455	0.22568291	-0.073182024	22.71337	-7.538103	0.95054644	0.005312979	1.0	1.8012195	0.00531559	390000	558.9606020450592
13	1.3551205	2.7427325	9.256501	-2.9505193	25.333334	30.373598	105.0	0.0	1000.0	10738.0	0.025566666666666668	0.053825416	0.5667472	1.4424103	-1.7350221	2.6440692	2.648987	25.188719	-2.3075747	-5.5879354e-09	-0.0010373814	-1.8626451e-08	-0.0013726628	0.18834582	-0.052529454	21.622684	-7.079299	0.9558594	0.0050848722	1.0	1.8004711	0.0028240453	420000	601.3433983325958
14	1.5353894	2.2483993	6.131395	-2.5218494	25.291666	25.275944	84.0	0.0	1000.0	11417.0	0.02537111111111111	-0.0025581326	0.57564944	1.6112972	-1.5768366	2.8882256	2.9668853	26.971285	-4.900478	-3.7252903e-09	-0.0012661985	-1.4901161e-08	-0.008504859	0.17078698	-0.04345135	20.000877	-8.015353	0.9609443	0.0048416257	1.0	1.7999868	0.012799712	450000	643.6925482749939
15	2.3869221	3.1128614	9.613313	-2.38321	25.0	23.018108	84.0	0.0	1000.0	12153.0	0.02531875	0.047319766	0.64400744	1.7199342	-1.6516641	2.307361	2.3854623	23.360321	-4.130706	1.3969839e-08	-0.0005806581	3.1664968e-08	-0.0023659149	0.25492367	-0.07238859	16.237082	-6.045965	0.9657859	0.0044083	1.0	1.7997065	0.003415701	480000	686.5029625892639
16	0.7416296	2.3799217	5.9338984	-2.6233757	30.375	28.492414	89.0	0.0	1000.0	13207.0	0.025896078431372548	0.11763872	0.6935972	2.0058947	-1.7177906	2.488508	3.0016642	27.375168	-4.912198	-3.7252903e-09	-0.0014082228	0.0	-0.0044214423	0.23716755	-0.07194874	32.5008	-16.034351	0.9701942	0.0079472065	1.0	1.7995524	0.004728591	510000	729.0450322628021
17	2.0217922	2.7784982	7.5661545	-3.7022488	27.791666	19.786316	89.0	0.0	1000.0	14039.0	0.02599814814814815	0.0036435954	0.59714264	1.2220865	-1.818929	3.417267	3.5774696	27.473759	-7.051994	-9.313226e-09	-0.0007123898	-2.2351742e-08	-0.0066326717	0.2478675	-0.07219322	25.354753	-13.140835	0.9781414	0.009317815	1.0	1.7995335	0.007466979	540000	771.4972467422485
