Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.20246816	0.6952319	0.94432014	-1.630864	73.0	65.60233	203.0	0.0	1000.0	2169.0	0.0723	0.7611189	0.5401908	2.0892546	-1.0463864	-0.32011127	0.11883854	0.23552173	-0.8916313	-2.142042e-08	0.03165639	-2.9802322e-08	-0.0037758201	0.9657225	-0.89360225	128.70076	-71.468956	0	0	1.0	1.837877	0.03203298	30000	25.39339303970337
1	-0.00045181313	0.65016085	1.3153917	-1.0774696	77.458336	69.33973	192.0	0.0	1000.0	4123.0	0.06871666666666666	0.038278703	0.317093	0.8303479	-0.87799823	6.2591553	3.6450531	16.193434	-2.7849913	1.8626451e-09	0.04587084	-7.450581e-09	0.007482661	0.042372927	-0.010905378	71.11187	-26.075718	0	0	1.0	1.8377125	0.061766572	60000	49.94390845298767
2	-0.027256655	0.6709397	1.3710542	-1.7111144	57.125	67.82595	259.0	0.0	1000.0	5802.0	0.06446666666666667	0.0040967735	0.31114814	0.6085566	-0.8379698	4.6642733	6.376856	24.819103	-7.584995	-1.4901161e-08	0.0051500765	-3.7252903e-08	0.0020466498	0.036899198	-0.0064182812	41.87901	-8.699458	0	0	1.0	1.8384194	0.011641767	90000	74.62821412086487
3	-0.06868097	0.813617	1.0380337	-2.0114372	75.666664	66.30464	209.0	0.0	1000.0	8141.0	0.06784166666666666	0.0016164009	0.26377928	0.5003484	-0.7556284	10.088215	7.9012527	30.847202	-2.2897887	3.7252903e-09	-0.00024759793	6.7055225e-08	-0.0015440858	0.026953846	-0.007839529	56.68896	-16.257397	0	0	1.0	1.8389041	0.00280996	120000	99.78549075126648
4	-0.06604654	0.73886514	1.3908204	-1.5589745	96.875	87.58344	328.0	0.0	1000.0	10692.0	0.07128	0.013480214	0.2923037	0.5151221	-0.85047436	7.794851	7.4558434	35.5721	-4.303091	4.656613e-09	0.0004788458	-3.7252903e-08	-0.0027052904	0.022862285	-0.004729439	57.90162	-16.977669	0	0	1.0	1.8391924	0.0039577396	150000	124.85338068008423
5	-0.058618296	0.70429945	0.9963436	-1.6376765	50.208332	54.8794	174.0	0.0	1000.0	12228.0	0.06793333333333333	0.021422079	0.28456017	0.4917326	-0.73533386	7.074056	8.302713	39.747196	-2.8521857	-1.3038516e-08	-0.008236864	1.4901161e-08	0.0028775195	0.025795015	-0.0018021497	41.397842	-12.802972	0	0	79.0	1.8394058	0.005625422	180000	157.04261684417725
6	0.20629351	0.95656854	2.6466105	-1.1981237	70.5	58.804054	211.0	0.0	1000.0	14219.0	0.0677095238095238	0.006274489	0.3004646	0.52923185	-0.7883538	6.7302494	7.3692107	39.574345	-4.0955076	7.450581e-09	-0.009394931	-7.450581e-09	0.0025070822	0.04255166	-0.0066645574	36.81993	-9.902643	0	0	79.0	1.8303686	0.0054702573	210000	189.2311305999756
7	0.017291402	0.92522573	1.7025356	-1.8134935	66.125	61.26399	218.0	0.0	1000.0	16485.0	0.0686875	0.014509064	0.2890887	0.56267995	-0.71700734	6.8892894	8.2728	39.050686	-1.9234416	-9.313226e-09	-0.0012095291	-5.9604645e-08	-0.0013726011	0.051194735	-0.019751456	45.240234	-9.259329	0	0	12.0	1.8159604	0.0070994757	240000	215.28240513801575
8	-0.30774117	0.9026312	1.7468568	-2.330276	50.125	55.0222	209.0	0.0	1000.0	18171.0	0.0673	0.010254897	0.29740354	0.7515674	-0.7161774	7.1217856	7.851978	38.453648	-2.3371036	-1.4901161e-08	0.0023740241	5.2154064e-08	-0.0036306018	0.04160389	-0.0065319487	38.514313	-13.709625	0	0	1.0	1.8100786	0.008338349	270000	240.13419914245605
9	-0.30927408	1.0965862	1.1042163	-2.5954328	59.833332	65.2908	233.0	0.0	1000.0	19965.0	0.06655	0.021183195	0.29256254	0.62570703	-0.742617	6.6352773	8.088397	38.096912	-0.99297273	-6.519258e-09	-0.0013077317	0.0	-0.0009479325	0.057130095	-0.011885983	29.963348	-8.38968	0	0	1.0	1.8089268	0.0014410815	300000	264.84391021728516
