Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.21114452	1.1468623	2.3305612	-2.2766945	72.083336	59.834435	179.0	2.0	1000.0	2405.0	0.08016666666666666	0.7673458	0.53295445	2.0703483	-1.0060328	-0.289682	0.118246295	0.3031673	-0.87380314	-1.4901161e-08	0.023231242	-5.9604645e-08	-0.010390008	0.9906473	-0.8990435	146.73018	-87.08876	0.99999994	0.032042563	1.0	1.837877	0.068296164	30000	27.985718727111816
1	-0.18231398	1.0085833	1.1539096	-2.5018215	81.958336	69.8543	237.0	2.0	1000.0	4902.0	0.0817	0.03696653	0.2747568	0.9200828	-1.0088643	7.2697406	4.244788	16.207975	-2.893485	4.0978193e-08	0.010822011	6.7055225e-08	-0.015381677	0.102409825	-0.021426836	57.260498	-15.691391	1.0320425	0.03273189	1.0	1.8383043	0.053544283	60000	54.47844958305359
2	0.14592858	1.1861949	1.9340843	-2.5523365	53.125	42.126114	135.0	0.0	1000.0	6769.0	0.07521111111111112	-0.02049813	0.35591024	0.65835595	-1.1971368	6.4962487	5.9688168	23.648926	-5.534108	1.8626451e-08	0.0023166398	4.0978193e-08	-8.4018335e-05	0.09574516	-0.01128692	33.345932	-6.4964066	1.0647744	0.031602502	1.0	1.8389487	0.011896955	90000	80.96632957458496
3	0.22291549	1.0362978	2.8706896	-2.1220014	72.041664	49.16001	180.0	0.0	1000.0	8941.0	0.07450833333333333	-0.060889952	0.44706154	0.9831287	-1.3366878	7.7456856	5.1945777	28.762833	-2.1915734	-1.8626451e-08	0.0003261729	-3.7252903e-08	-0.013137403	0.07596775	-0.026400177	39.27265	-7.243415	1.0963769	0.032618523	1.0	1.8393105	0.02156806	120000	107.71770739555359
4	-0.7637718	1.2908267	2.3219898	-2.7143521	60.666668	58.929806	191.0	0.0	1000.0	10680.0	0.0712	0.112482734	0.3051944	0.63721555	-0.87962276	5.702675	5.3470187	28.609938	-4.035637	-1.1175871e-08	-0.010990428	-1.1175871e-08	-0.025317298	0.14887418	-0.060976047	37.875114	-12.012529	1.1289954	0.03366053	13.0	1.83951	0.013698759	150000	135.75892090797424
5	-0.43478453	1.3519273	2.6740406	-3.4465384	53.75	48.3884	196.0	0.0	1000.0	12433.0	0.06907222222222222	-0.0055285124	0.40612695	0.9388954	-1.463085	5.3202085	5.385896	33.02237	-2.0420554	-3.7252903e-09	-0.007648588	2.2351742e-08	-0.020446809	0.13284105	-0.024129916	29.497478	-8.168621	1.162656	0.033319592	10.0	1.8406417	0.014846031	180000	163.44534969329834
6	-0.38223186	1.2008302	2.3955197	-3.390811	62.791668	44.23044	141.0	0.0	1000.0	14234.0	0.06778095238095239	-0.045052458	0.36268526	0.76827586	-1.2448239	6.741624	6.1713166	32.140617	-1.6865458	1.8626451e-08	-0.011588105	2.9802322e-08	-0.027171873	0.09803162	-0.018606924	34.044926	-8.648809	1.1959755	0.034169436	11.0	1.8435633	0.012135606	210000	191.32832288742065
7	-0.4354571	1.071862	1.8521668	-2.1598961	57.541668	63.13938	210.0	0.0	1000.0	15804.0	0.06585	-0.03689527	0.35954648	0.668303	-1.1719489	5.7037253	5.646363	31.454851	-2.072344	7.450581e-09	-0.0028360228	-7.450581e-09	-0.007306508	0.07473208	-0.01564281	35.393684	-9.544015	1.230145	0.033774257	2.0	1.8425592	0.0074980417	240000	218.8185863494873
8	-0.7985956	1.3520323	2.3060403	-3.2661974	30.875	34.490715	142.0	0.0	1000.0	16779.0	0.06214444444444445	0.01258115	0.3405697	0.7141895	-1.1028923	2.9903936	4.3991284	32.531765	-3.4625516	3.7252903e-09	-0.0020899996	1.4901161e-08	-0.004557571	0.11153769	-0.038732074	20.636017	-6.436702	1.2639192	0.031228423	2.0	1.8419752	0.0051131626	270000	245.92533206939697
9	-0.06386595	1.3002766	2.3694851	-2.0100296	45.875	41.637638	152.0	0.0	1000.0	18092.0	0.06030666666666667	-0.048062	0.37736082	0.92149943	-1.2426814	4.9287214	4.9380198	32.28028	-2.4574094	-3.7252903e-09	-0.0043181274	-2.9802322e-08	-0.010133242	0.10130922	-0.031121997	25.754566	-7.2678714	1.2951477	0.031064987	4.0	1.8416425	0.007176752	300000	273.4498972892761
