Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	1.3605086	2.3128715	6.8429847	-2.5753891	68.708336	64.5016	243.0	0.0	1000.0	2365.0	0.07883333333333334	0.59895265	0.52872515	2.1215684	-1.3269107	-0.4122016	0.12227922	0.77547795	-0.9293244	2.6077032e-08	0.044320613	1.2293458e-07	-0.010057356	0.7045247	-0.53477573	176.545	-109.68651	0	0	1.0	1.837877	0.05810366	30000	35.78890562057495
1	0.83479863	1.506794	4.046952	-1.5556543	81.333336	46.289547	171.0	0.0	1000.0	4839.0	0.08065	0.24285345	0.30538258	1.1617457	-0.7639215	8.130226	6.5922575	21.752182	-5.788425	3.7252903e-09	0.055559307	2.9802322e-08	0.009152819	0.21057633	-0.050771683	65.21699	-9.133251	0	0	1.0	1.8372016	0.08236339	60000	69.94298338890076
2	1.0057627	1.5166947	4.403362	-1.3168192	88.541664	56.5862	217.0	10.0	1000.0	7260.0	0.08066666666666666	0.10503243	0.44171172	1.2491038	-1.0674311	9.187148	6.719118	25.637745	-3.442542	-1.6763806e-08	0.0007834494	7.4505806e-08	-0.00044599734	0.11202967	-0.029504798	66.50926	-12.282854	0	0	1.0	1.8376622	0.0033476283	90000	103.89268565177917
3	0.45438066	1.5263134	4.0219855	-1.7963136	90.833336	51.665325	181.0	0.0	1000.0	10028.0	0.08356666666666666	0.06501641	0.28583688	1.0291119	-0.7719176	7.8682017	5.7802963	26.778652	-2.0138605	3.7252903e-09	-0.00035419455	0.0	0.0064186268	0.11830571	-0.017352577	57.66604	-7.654682	0	0	1.0	1.8379245	0.005362021	120000	138.06828141212463
4	1.0079846	1.4797143	3.6782832	-1.8798637	79.416664	60.901505	226.0	0.0	1000.0	12449.0	0.08299333333333334	0.07662818	0.339687	1.2333544	-0.9548801	10.179205	5.9794865	27.63646	-2.3222737	4.656613e-09	-0.009009875	1.4901161e-08	0.004291797	0.10447337	-0.015170897	57.77512	-10.93812	0	0	79.0	1.8380123	0.0056468435	150000	179.56323528289795
5	1.4093337	1.963936	7.735051	-2.1482935	110.666664	71.76911	295.0	0.0	1000.0	15806.0	0.08781111111111112	0.10775197	0.32722282	1.2843592	-0.7431506	10.517325	5.8095946	27.995262	-2.78871	3.7252903e-09	-0.006334932	-7.450581e-09	0.0008686569	0.111547716	-0.013421735	99.70661	-13.766436	0	0	36.0	1.8226092	0.004380748	180000	217.2231194972992
6	1.6923056	2.0221753	6.6588054	-1.0442762	117.375	57.924385	233.0	0.0	1000.0	19300.0	0.0919047619047619	0.17627804	0.35829043	1.2792763	-0.7986998	11.266539	6.3764124	35.079826	-3.2673109	1.6763806e-08	-0.0007398899	7.450581e-09	-0.00057328586	0.123913825	-0.019215351	95.20151	-15.450473	0	0	1.0	1.8188065	0.0006511429	210000	251.5477364063263
7	1.9939908	2.0812893	7.6487336	-0.75123614	96.583336	74.74173	279.0	0.0	1000.0	22368.0	0.0932	0.186279	0.31287938	1.3720633	-0.66189003	10.845568	6.5419726	37.039604	-7.4991155	6.519258e-09	-0.0020077392	-2.9802322e-08	9.425171e-05	0.1472308	-0.033637322	100.678856	-15.517497	0	0	6.0	1.8184656	0.00082667096	240000	286.23591327667236
8	2.5060556	2.6264038	9.75995	-1.6885474	97.083336	59.88246	252.0	0.0	1000.0	25366.0	0.09394814814814814	0.24765027	0.37937093	1.5630244	-0.87832505	10.316217	7.278648	41.49213	-1.3918157	9.313226e-09	-0.010290358	-3.7252903e-08	-0.009064189	0.1269416	-0.022232506	74.93581	-19.460789	0	0	79.0	1.8166951	0.0059440313	270000	327.7390730381012
9	1.9335972	2.4427419	7.905851	-2.052654	122.541664	71.75768	289.0	18.0	1000.0	29003.0	0.09667666666666666	0.2803474	0.42213127	1.7284269	-0.73853815	11.152227	6.592035	37.95111	-3.3269339	1.8626451e-09	0.0008077603	-2.9802322e-08	0.000108595006	0.1595417	-0.049108807	99.78734	-19.78823	0	0	2.0	1.7847865	0.0041168965	300000	362.10440611839294
